ImageType,EchoTime,MB,ProtocolName,nimages,modality,type,task,acq,for
M,2.98,ND,T1_mprage_short1x1x1,160,T1w,T1w,,,
M,72.6,ND,cmrr_dti_2mm_m3p2,1,dwi,sbref,,multiband,
DIFFUSION,72.6,NONE,cmrr_dti_2mm_m3p2,216,dwi,dwi,,multiband,
DIFFUSION,72.6,NONE,cmrr_dti_2mm_m3p2,212,dwi,dwi,,multiband,
DIFFUSION,72.6,NONE,cmrr_dti_2mm_AP_b0,69,fmap,AP,,singleband,dwi
DIFFUSION,72.6,NONE,cmrr_dti_2mm_PA_b0,69,fmap,PA,,singleband,dwi
M,5.2,ND,cmrr_field_mapping_2x2x3_dti,46,fmap,magnitude1,,,dwi
M,7.66,ND,cmrr_field_mapping_2x2x3_dti,46,fmap,magnitude2,,,dwi
M,5.2,ND,cmrr_field_mapping_2x2x3_dti,92,fmap,magnitude,,,dwi
M,7.66,ND,cmrr_field_mapping_2x2x3_dti,92,fmap,magnitude,,,dwi
P,7.66,ND,cmrr_field_mapping_2x2x3_dti,46,fmap,phasediff,,,dwi
M,33.4,ND,EPI_multibandtest_EN_1_PMA,1,func,sbref,enpma,multiband,
M,33.4,MB,EPI_multibandtest_EN_1_PMA,184,func,bold,enpma,multiband,
M,33.4,ND,EPI_multibandtest_EN_2_WMA,1,func,sbref,enwma,multiband,
M,33.4,MB,EPI_multibandtest_EN_2_WMA,184,func,bold,enwma,multiband,
M,33.4,ND,EPI_multibandtest_EN_3_WMV,1,func,sbref,enwmv,multiband,
M,33.4,MB,EPI_multibandtest_EN_3_WMV,184,func,bold,enwmv,multiband,
M,33.4,ND,EPI_multibandtest_EN_4_SMA,1,func,sbref,ensma,multiband,
M,33.4,MB,EPI_multibandtest_EN_4_SMA,184,func,bold,ensma,multiband,
M,33.4,ND,EPI_multibandtest_SP_1_PMA,1,func,sbref,sppma,multiband,
M,33.4,MB,EPI_multibandtest_SP_1_PMA,184,func,bold,sppma,multiband,
M,33.4,ND,EPI_multibandtest_SP_2_WMA,1,func,sbref,spwma,multiband,
M,33.4,MB,EPI_multibandtest_SP_2_WMA,184,func,bold,spwma,multiband,
M,33.4,ND,EPI_multibandtest_SP_3_WMV,1,func,sbref,spwmv,multiband,
M,33.4,MB,EPI_multibandtest_SP_3_WMV,184,func,bold,spwmv,multiband,
M,33.4,ND,EPI_multibandtest_SP_4_SMA,1,func,sbref,spsma,multiband,
M,33.4,MB,EPI_multibandtest_SP_4_SMA,184,func,bold,spsma,multiband,
M,33.4,ND,EPI_multibandtest_CN_1_PMA,1,func,sbref,cnpma,multiband,
M,33.4,MB,EPI_multibandtest_CN_1_PMA,184,func,bold,cnpma,multiband,
M,33.4,ND,EPI_multibandtest_CN_2_WMA,1,func,sbref,cnwma,multiband,
M,33.4,MB,EPI_multibandtest_CN_2_WMA,184,func,bold,cnwma,multiband,
M,33.4,ND,EPI_multibandtest_CN_3_WMV,1,func,sbref,cnwmv,multiband,
M,33.4,MB,EPI_multibandtest_CN_3_WMV,184,func,bold,cnwmv,multiband,
